,고유번호,식당 이름,X,Y,도로명 주소,웹 주소,종류,별점,리뷰 개수,오픈 시간,마감 시간,해시 태그,리뷰
0,1752573248,스마일찹쌀꽈배기 창전점,126.932484,37.55187731,서울 마포구 서강로 97,http://place.map.kakao.com/1752573248,간식,4.8,12,9:30,20:00,#광흥창맛집 #꽈배기 #단체간식 #서강대맛집 #핫도그 #제로페이,5 -  \ 4 - 쫄깃쫄깃한게 너무 맛있습니다\ 5 - 항상 친절하시고 맛있어요!!!!!\ 5 -  \ 5 - 쫄깃쫄깃 달달한 맛 너무 맛있어요\ 5 - 이 집땜에 살쪄요. 책임지고 영원히 팔아주세요\ 5 - 꽈배기 맛집\ 5 - 꽈배기 다른집도 많지만 이 집이 유독 쫄깃하고 엄청 맛나요\ 5 - 쫀득쫀득~~ 맛있어요 그리고 직원분들도 너무 착하셔요 ~\ 5 - 진짜 다른 스마일 보다 훨씬 맛있고 친절함~~\ 4 - 꽈배기 is pretty good.\ 5 - 최고의 꽈배기!\
1,1990714242,달토끼의떡볶이흡입구역 신촌점,126.933311,37.55084524,서울 마포구 광성로 17,http://place.map.kakao.com/1990714242,떡볶이,4.5,2,11:00,1:00,#제로페이,4 - 처음 먹었는데 맛있었어요 오뎅이 좀 아쉽\ 5 - 정말 맛있네요 평소에 떡볶이를 자주먹는편이 아닌데도 맛있게 잘먹었습니다\ 
2,50939202,카페 리카르도,126.9325988,37.55005736,서울 마포구 서강로 78,http://place.map.kakao.com/50939202,카페,4.6,36,11:00,21:00,#카카오페이 #제로페이,"3 -  \ 3 - 너무 좋아하는 곳이었는데요 리모델링 예정보다 한참 하시더니 더 별로 됐어요. 인스타 감성 카페 추구하시는 것 같은데 위치도 위치고 그런 것보다 예전의 인테리어 음료 분위기가 훨씬 좋아요... 그래서 아쉽지만 아직도 집 근처 이만한 카페는 없으니까 가요\ 3 - 여기 와플 없습니다. 밑에 댓글이 별점조작으로 보입니다.\ 5 - 아직 리모델링 중이에요\ 5 -  \ 1 - 반려동물 동반 표시는 삭제 부탁 해요\ 5 - 최애 카페에요 :) !!!!! 친구 만나기도, 혼자 작업 하기도 편하고 음료도 빵도 분위기도 여기가 유럽인지 마포구인지 모를 일입니다 앞으로도 자주 갈게요 :)\ 5 -  \ 5 - 쾌적, 의자 편하고, 분위기 괜찮은 개인카페.\ 4 -  \ 5 -  \ 5 - 선곡이 훌륭하고 인테리어가 깔끔하다.\ 5 - 먹느라 바빠서 사진 못찍어가지고 인스타그램에서 가져왔네여.. ㅎ; 저는 주로 카페 시그니처 메뉴 고르는 편이라 리카르도 시그니처인 데로씨 라떼 먹어봤는데데 진심 존맛이네요,, 콜드브루 얼음이 데코된것도 귀여움 ~~~\ 5 -  \ 5 - 주차가 되어서 저어어엉말 편합니다. 맛도 좋아요\ 5 - 산미있는 피피아일랜드가 개인적으로 최고의 픽\ 5 - 제대로 로스팅된 듯한 원두의 커피맛이 너무 좋아요! 사진엔 없지만 스트로베리 스콘도 너무너무 맛있고 살짝 데워서 먹으면 정말 맛있음 ㅠㅠ 와플 계속 생각나고 ㅠㅠ 런치식사도 가능해서 편리해요!\ 5 -  \ 5 - 데로씨라떼를 추천,,! 고급진 더위사냥맛? 콜드브루 들어간 음료를 싫어했는데,, 데로씨라떼 맛보고 이것만 사먹음 ㅇㅇ\ 5 - 커피 개맛있음!! 과제하러 갔는데 분위기도 조용하고 평화로워서 집중 잘됐어요! 보니까 점심도 맨날 다른걸로 나오는 것 같은데 담에는 점심 먹으러도 가보고싶어요!\ 5 - 딸기라떼 존맛탱ㅠ 딸기퓨레가 진짜 제대로 임니다 ㅠㅠ\ 5 - 광흥창 주변에 비슷한 식당뿐이었는데, 매일 점심시간에 메뉴 고민하지 않고 해결할 수 있어서 좋네요.\ 5 - 커피가 가장 제 취향이에요..맛있어요 직원분들도 워낙 친절하시고..\ 5 - 디저트와 음료가 제 취향이네요. 메뉴 종류도 많고 매일 바뀌는 런치도 맛있어요 ;)\ 5 -  \ 5 - 런치맛집:) 매일매일 다르게 나오는 메뉴 진짜 쵝오\ 5 - 아메리카노 + 얼그레이 쇼콜라 케이크 조합 최고\ 5 -  \ 5 - 자주 업데이트 되는 새로운 메뉴들과 고급 재료로 만든 고퀄리티 커피, 디저트!\ 3 -  \ 5 - 커피도 전경도 내부도 너무 이뻣던곳  다음에 또 올께용 ㅎㅎㅎㅎ 직원분들도 너무 친절하시고 감사합니다\ 5 -  \ 5 - 초코라또 이거 너무너무 맛있어요\ 5 - 음료 다맛있고 음악이랑 분위기 너무 좋아요!\ 5 - 음악 음료 인테리어 다 좋아요\ 4 -  \ "
3,11059795,본죽 신수서강대역점,126.9335066,37.55238335,서울 마포구 서강로 106,http://place.map.kakao.com/11059795,본죽,4.7,13,9:30,19:00,#제로페이,5 -  \ 4 - 전복특과 매생이 먹었습니다. 맛있었습니다.\ 5 - 눈떠보니없네요 맛있게잘먹었습니다\ 5 - 사장님도 정말 친절하시고 죽도 정말 맛있었습니당! : 3 낙지김치죽 최고오..\ 5 - 친절하세요.\ 2 - 전체적으로 무난하지만 반찬들이 좀 짜요. 특히 깍두기 물김치는 정말 아닙니다. 그냥 소금물에 식초 조금 섞으면 나옴직한 맛입니다. 반찬에 신경 좀 써주세요. 프렌차이즈라 그것도 힘들레나...\ 5 - 집앞에 별점5점짜리 본죽이 있는건 복 아닐까여? ㅎㅎㅎㅎㅎㅎㅎㅎ\ 5 -  \ 5 - 맛있고 남자사장님 완전 친절하세용^^\ 5 - 내가 가본 본죽 중 최고의 지점!\ 5 -  \ 5 - 죽 맛있고 친절해요...남자사장님 엄청 친절하셔서 놀랐음\ 5 -  \
4,1149161720,이디야커피 신촌숲아이파크점,126.9332872,37.55098127,서울 마포구 광성로 17,http://place.map.kakao.com/1149161720,이디야커피,5,4,9:00,22:00,#카카오페이,5 - 정말 친절하세요. 자주 가는데 모든 점원분께서 친절하십니다. 이디야를 가야한다면 굳이 찾아갈정도\ 5 - 갔던 이디야 중 가장 친절한 사장님과 맛도 100점\ 5 -  \ 5 - .\
5,249943691,푸라닭치킨 신수점,126.9331182,37.55131905,,http://place.map.kakao.com/249943691,푸라닭치킨,2,9,11:00,24:00:00,#제로페이,5 - 진짜 친절하세요!\ 1 -  \ 1 - 여사장 짜증이빠이\ 5 -  \ 1 - 가게 앞이 관리가 안 되는데 매장 안은...\ 1 - 주인 바뀌었는지요 처음 시켰을땐 맛있어서 몇번 더 시켰지만 이번엔 덜익어 닭 누린내가 심하고 껍질도 전혀 파삭하지않고 딱딱합니다 처음엔 겉바속촉이었는데 지금은 시장에서 싸게먹는 닭보다도 훨씬 못합니다 브랜드가 유명해 장사가 잘되서 그런지 전화도 잘 안받으시던데 초심을 되찾길 바랍니다 단골손님 떠나갑니다\ 1 -  \ 2 - 닭 잡내가 나요. 제대로 요리해주셔야 할 듯.\ 1 -  \
6,2106370399,광복김밥,126.933514,37.55173373,서울 마포구 광성로 17,http://place.map.kakao.com/2106370399,분식,2.8,5,,,,2 - 김치참치김밥 5500원.. 살짝 비싼 감이 있어요~\ 1 - 김밥이 비쌀 때 비싸더라도 맛과 양이 기본은 해야죠... 참치 한 줄 치즈 한 줄 사먹었는데 차라리 편의점 김밥이랑 컵라면 먹는 게 나은 수준;;\ 5 - 맛있어요 떡볶이랑 꼬마김밥 하나 시켜서 혼밥했는데 딱 좋아요 ㅎ ㅎ\ 5 - 두번째 방문. 모두 김밥 픽업을 했는데 김밥 맛도 서비스도 기분좋아지는 곳.\ 1 -  \
7,567307212,치르메스치킨 신촌점,126.9334172,37.551121,서울 마포구 광성로 17,http://place.map.kakao.com/567307212,치킨,5,1,,,,5 -  \
8,1505461174,녹색가든,126.9333711,37.55203278,서울 마포구 서강로 102,http://place.map.kakao.com/1505461174,한식,3,2,,,,1 - 김치찌개 시켰는데 구운 삼겹살과 생 고기를 넣어 익은 두가지 고기가 들어있더군요. 손님이 먹다 남긴 구운고기 넣으신거냐 물어보니 아닌데~ 하면서 다시 만들어 주신대서 기다렸는데 또 구운고기 들어있어서 다시 항의하니 답변은 얼버무림으로 마무리. 공기밥만 먹고 나왔습니다. 미안하다시며 백반값 받으심. 다시는 안갑니다.\ 5 -  \
9,1808079955,네네치킨,126.9334035,37.5512147,서울 마포구 광성로 17,http://place.map.kakao.com/1808079955,네네치킨,0,0,,,,
