,restaurant_id,score,review
0,1952478679,5, 
1,1952478679,4, 
2,1952478679,5,한결같이 맛있어요.. 콩국수 사계절 해주세요
3,1952478679,5, 
4,1952478679,1, 
5,1952478679,5, 
6,1952478679,4, 
7,1952478679,5, 
8,1952478679,3,맛은 똑같은듯 다만 명동 본점들에 비하면 주문 후 음식이 너무 늦게 나온다
9,1952478679,5,변함없음.
10,1952478679,3, 
11,1952478679,5,멀리 명동에 갈 필요가 없습니다.
12,1952478679,5, 
13,1952478679,3, 
14,1952478679,5,멀리 명동에 갈 필요가 없습니다.
15,1952478679,5, 
16,1952478679,2, 
17,1952478679,5,"자주 가는 편인데 늘 맛있고 특히 비오는 날, 쌀쌀한 날 먹으러 가면 너무 맛있게 먹고 나옵니당. 밥 사리 추가도 가능해서 양 많이 드시는 분들도 넉넉하게 드실 수 있어요 굿굿"
18,1952478679,1,이게 왜 미슐랭인지 모르겠음 그냥 마늘만 때려부은 맛인데… 귀신은 근처도 안올 것 같아서 다행임
19,1952478679,2,홀이 아주아주 어수선하고 엉망진창입니다.. 편하게 밥먹으러 갔다가 기빨리고 기분만 잡치고 왔어요^^
20,1952478679,4,맛있어요ㅠ 근데 저는 김치가 좀 별로더라구요.. 너무 알싸하다고 해야되나..??
21,1952478679,4, 
22,1952478679,5, 
23,1952478679,5, 
24,1952478679,5,이제 멀리 명동에 갈 필요가 없습니다.
25,1952478679,4,맛있어요
26,1952478679,2,"본점이랑 맛 굉장히 다름, 재방문 의사 없음"
27,1952478679,5, 
28,1952478679,4,칼국수에서 짜장면 맛 남. 근데 맛있음
29,1952478679,3, 
30,1952478679,5,첫 명동교자 방문!! 비오는날 뜨끈한 칼국수 한그릇하고 갑니다 ㅎㅎ 그릇 치우고 음식 갖다주는 로봇이 있어서 매우 신기했어요..!
31,1952478679,5,명동교자 본점만 7번 방문한 사람인데 앞으로는 여기 올 것 같아요 맛도 똑같고 훨씬 더 친절하고 훨씬더 위생적입니다 수저 깨끗한거 보고 깜짝 놀랐음 암튼 최고
32,1952478679,5, 
33,1952478679,5,진짜 가면 맨날 싹싹 다 비워먹음
34,1952478679,5, 
35,1952478679,5, 
36,1952478679,5, 
37,1952478679,5, 
38,1952478679,5, 
39,1952478679,1,평소 여기 김치맛이 좋아서 생각날때 자주 가는곳인데 오늘 서빙직원에게 김치 더달라고했다가 남기면 안된다고 핀잔듣고 엄청 기분 상했습니다. 워낙 유명한 브랜드라 손님들이 알아서 스스로 오는곳이지만 직원들이 손님을 이런식으로 대하면 사업 오래 못가는건 순식간입니다.
40,1952478679,4,명동점보다 웨이팅도 없고 깔끔
41,1952478679,5,"칼국수, 여전히 맛있다~ 비빔국수랑 함께 먹으면 더 맛있다. ㅎㅎㅎ"
42,1952478679,4,용산구청에 주차하면 편해요
43,1952478679,5,세월이 지나도 변함없는 내 기준 1등 맛집.
44,1952478679,2,일하시는 여성분 엄청 불친절한데 맛은 있네요
45,1952478679,5,존맛탱~ ㅎㅎ 명동 본점이랑 맛이 똑같아요. ^^ 앞으론 칼국수 땡길 때 좀 더 가까운 이태원점으로 가면 되겠네요. ㅎㅎ
46,1952478679,4,나쁘지않음. 익숙한맛
47,1952478679,5,변하지 않는 서울 1등 맛집
48,1952478679,3,브레이크타임이 공지가 안되있어서 기다렷다가 먹었어요
49,1952478679,4,입구 직원은 친절한데 계산하는 직원이 너무 불쾌합니다.. 반말로 시작해서 말투도 그렇고 계산하면서 태도도 기분 상하게 만드네요. 바쁜시간대도 아니었는데...
50,1952478679,5,맛있음
51,1952478679,5, 
